county,seat,homepage,confidence,evidence,flag_for_review,source
Alachua,Gainesville,https://www.votealachua.gov,confident,"'Alachua County' in page; 'Supervisor of Elections' in page; seat 'Gainesville' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote-by-mail, voter registration",,state directory
Baker,Macclenny,https://votebakerfl.gov,confident,"'Baker County' in page; 'Supervisor of Elections' in page; seat 'Macclenny' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote-by-mail, early voting",,state directory
Bay,Panama City,https://www.bayvotesfl.gov,confident,"'Bay County' in page; 'Supervisor of Elections' in page; seat 'Panama City' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
Bradford,Starke,https://www.votebradfordfl.gov,confident,"'Bradford County' in page; 'Supervisor of Elections' in page; seat 'Starke' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
Brevard,Titusville,https://www.votebrevard.gov,confident,"'Brevard County' in page; 'Supervisor of Elections' in page; seat 'Titusville' in page; SOE office city 'Melbourne' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, voter registration",,state directory
Broward,Fort Lauderdale,https://browardvotes.gov/,confident,"'Broward County' in page; 'Supervisor of Elections' in page; seat 'Fort Lauderdale' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
Calhoun,Blountstown,https://votecalhounfl.gov/,confident,"'Calhoun County' in page; 'Supervisor of Elections' in page; seat 'Blountstown' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
Charlotte,Punta Gorda,https://www.soecharlottecountyfl.gov,confident,"'Charlotte County' in page; 'Supervisor of Elections' in page; seat 'Punta Gorda' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote-by-mail, voter registration",,state directory
Citrus,Inverness,https://www.votecitrus.gov,confident,"'Citrus County' in page; 'Supervisor of Elections' in page; SOE office city 'Lecanto' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
Clay,Green Cove Springs,https://clayelections.gov/,confident,"'Clay County' in page; 'Supervisor of Elections' in page; seat 'Green Cove Springs' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, voter registration",,state directory
Collier,Naples,https://www.colliervotes.gov,confident,"'Collier County' in page; 'Supervisor of Elections' in page; seat 'Naples' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
Columbia,Lake City,https://www.votecolumbiafl.gov,confident,"'Columbia County' in page; 'Supervisor of Elections' in page; seat 'Lake City' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
DeSoto,Arcadia,https://votedesotofl.gov/,confident,"'DeSoto County' in page; 'Supervisor of Elections' in page; seat 'Arcadia' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
Dixie,Cross City,https://dixievotes.gov/,confident,"'Dixie County' in page; 'Supervisor of Elections' in page; seat 'Cross City' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote-by-mail, voter registration",,state directory
Duval,Jacksonville,https://www.duvalelections.gov,likely,"'Duval County' in page; seat 'Jacksonville' in page; Florida/FL present; official TLD (.gov); election signals: vote-by-mail, early voting, sample ballot",yes,state directory
Escambia,Pensacola,https://escambiavotes.gov,confident,"'Escambia County' in page; 'Supervisor of Elections' in page; seat 'Pensacola' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
Flagler,Bunnell,https://www.flaglerelections.gov/Home,confident,"'Flagler County' in page; 'Supervisor of Elections' in page; seat 'Bunnell' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
Franklin,Apalachicola,https://www.votefranklinfl.gov,confident,"'Franklin County' in page; 'Supervisor of Elections' in page; seat 'Apalachicola' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, early voting",,state directory
Gadsden,Quincy,https://votegadsdenfl.gov/,confident,"'Gadsden County' in page; 'Supervisor of Elections' in page; seat 'Quincy' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, voter registration",,state directory
Gilchrist,Trenton,https://www.votegilchrist.com,confident,"'Gilchrist County' in page; 'Supervisor of Elections' in page; seat 'Trenton' in page; Florida/FL present; election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
Glades,Moore Haven,https://voteglades.gov/,confident,"'Glades County' in page; 'Supervisor of Elections' in page; seat 'Moore Haven' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
Gulf,Port St. Joe,https://votegulf.gov/,confident,"'Gulf County' in page; 'Supervisor of Elections' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, voter registration",,state directory
Hamilton,Jasper,https://www.hamiltonvotesfl.gov,confident,"'Hamilton County' in page; 'Supervisor of Elections' in page; seat 'Jasper' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, early voting",,state directory
Hardee,Wauchula,https://hardeeflvotes.gov,confident,"'Hardee County' in page; 'Supervisor of Elections' in page; seat 'Wauchula' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote-by-mail, voter registration",,state directory
Hendry,LaBelle,https://www.hendryelections.gov,confident,"'Hendry County' in page; 'Supervisor of Elections' in page; seat 'LaBelle' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, voter registration",,state directory
Hernando,Brooksville,https://www.hernandovotes.gov,confident,"'Hernando County' in page; 'Supervisor of Elections' in page; seat 'Brooksville' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote-by-mail, early voting",,state directory
Highlands,Sebring,https://www.votehighlands.gov,confident,"'Highlands County' in page; 'Supervisor of Elections' in page; seat 'Sebring' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote-by-mail, voter registration",,state directory
Hillsborough,Tampa,https://www.votehillsborough.gov,confident,"'Hillsborough County' in page; 'Supervisor of Elections' in page; seat 'Tampa' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, voter registration",,state directory
Holmes,Bonifay,https://holmeselectionsfl.gov/,confident,"'Holmes County' in page; 'Supervisor of Elections' in page; seat 'Bonifay' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote by mail, vote-by-mail",,state directory
Indian River,Vero Beach,https://www.voteindianriver.gov,confident,"'Indian River County' in page; 'Supervisor of Elections' in page; seat 'Vero Beach' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote-by-mail, voter registration",,state directory
Jackson,Marianna,https://votejacksonfl.gov/,confident,"'Jackson County' in page; 'Supervisor of Elections' in page; seat 'Marianna' in page; Florida/FL present; official TLD (.gov); election signals: supervisor of elections, vote-by-mail, voter registration",,state directory
