county,batch,page_type,url,external,notes
Alachua,1,elections,https://www.votealachua.gov/258/Upcoming-Elections,false,"found via link ""Upcoming Elections"" score=45"
Alachua,1,polling,https://www.votealachua.gov/207/Precinct-Voting,false,"found via ""Where Do I Vote?"" score=14"
Alachua,1,early_voting,https://www.votealachua.gov/Calendar.aspx?EID=359,false,"found via ""2026 Primary Election Early Voting Dates"" score=13 [per-election URL — refresh each cycle]"
Alachua,1,results,https://www.votealachua.gov/263/Election-Results,false,"found via ""Election Results"" score=22"
Baker,1,elections,https://votebakerfl.gov/notices/,false,"found via link ""Published Ineligible Voters Listing"" score=4 (weak match — review)"
Baker,1,polling,https://votebakerfl.gov/precinct-finder/,false,"found via ""Where Do I Vote?"" score=20"
Baker,1,early_voting,https://votebakerfl.gov/early-voting/,false,"found via ""Early Voting Dates & location"" score=25"
Baker,1,results,https://votebakerfl.gov/election-night-archive/,false,"found via ""Election Results Archive"" score=27"
Bay,1,elections,https://www.bayvotesfl.gov/elections/upcoming-elections/,false,"found via link ""All Upcoming Elections"" score=35"
Bay,1,polling,https://www.bayvotesfl.gov/voters/where-to-vote-in-person/,false,"found via ""Where to Vote in Person"" score=12"
Bay,1,early_voting,https://www.bayvotesfl.gov/events/early-voting-primary-election/,false,"found via ""Aug 8, 2026 Early Voting Hours: 10AM-6PM"" score=25"
Bay,1,results,https://www.bayvotesfl.gov/announcements/2026-primary-election-canvassing-board-schedule/,false,"found via ""2026 Primary Election Canvassing Board S"" score=5 (weak match — review)"
Bradford,1,elections,https://www.votebradfordfl.gov/election/upcoming_elections.php,false,"found via link ""Upcoming Elections"" score=45"
Bradford,1,polling,https://www.votebradfordfl.gov/voter/polling_locations.php,false,"found via ""Where do I vote?"" score=23"
Bradford,1,early_voting,https://www.votebradfordfl.gov/election/early_voting.php,false,"found via ""Early Voting"" score=12"
Bradford,1,results,https://www.votebradfordfl.gov/election/election_results_archive.php,false,"found via ""Election Results Archive"" score=22"
Brevard,1,elections,https://www.votebrevard.gov/Election-Information/Current-Elections,false,"found via link ""Current Elections"" score=20"
Brevard,1,polling,https://www.votebrevard.gov/News-and-Notices/Precinct-Polling-Place-Change-Notices,false,"found via ""Precinct & Polling Place Change Notices"" score=27"
Brevard,1,early_voting,https://www.votebrevard.gov/Election-Information/Early-Voting,false,"found via ""Find Early Voting locations and hours he"" score=27"
Brevard,1,results,https://www.votebrevard.gov/Election-Information/Election-Results,false,"found via ""Election Results"" score=22"
Broward,1,elections,https://browardvotes.gov/register-vote/when-register,false,"found via link ""Election Information"" score=21"
Broward,1,polling,https://browardvotes.gov/voters/precinct-finder,false,"found via ""Find my Precinct"" score=24"
Broward,1,early_voting,https://browardvotes.gov/august-election-early-voting-sitedropbox-locator,false,"found via ""Find Location"" score=13"
Broward,1,results,https://browardvotes.gov/results-information/election-results-information,false,"found via ""Election Results Information"" score=22"
Calhoun,1,elections,https://votecalhounfl.gov/election-information/election-dates/,false,"found via link ""Election Dates"" score=26"
Calhoun,1,polling,https://votecalhounfl.gov/voter-information/polling-location/,false,"found via ""Where Do I Vote?"" score=23"
Calhoun,1,early_voting,https://votecalhounfl.gov/ways-to-vote/early-voting/,false,"found via ""Early Voting"" score=17"
Calhoun,1,results,https://votecalhounfl.gov/election-information/election-results-archive/,false,"found via ""Election Results Archive"" score=22"
Charlotte,1,elections,https://www.soecharlottecountyfl.gov/31/Election-Information,false,"found via link ""Election Information"" score=21"
Charlotte,1,polling,,false,GAP: candidate is non-HTML (application/pdf) — out of scope
Charlotte,1,early_voting,https://www.soecharlottecountyfl.gov/1315/Early-Voting-Locations,false,"found via ""Early Voting Locations"" score=27"
Charlotte,1,results,,false,GAP: no distinct page found (likely folded into elections page)
Citrus,1,elections,https://www.votecitrus.gov/171/Election-Information,false,"found via link ""Election Information"" score=21"
Citrus,1,polling,https://www.votecitrus.gov/317/2026-General-Election,false,no standing polling page; using per-election hub page (shared with other types) — review
Citrus,1,early_voting,https://www.votecitrus.gov/238/2026-Early-Voting-Sites-Schedule,false,"found via ""2026 Early Voting Sites & Schedule"" score=27"
Citrus,1,results,https://www.votecitrus.gov/193/Election-Results-1992-to-2026,false,"found via ""Election Results 1992 to 2026"" score=22"
Clay,1,elections,https://clayelections.gov/event_type/elections/,false,"found via link ""Upcoming Elections"" score=45"
Clay,1,polling,https://clayelections.gov/Election-Information/Precinct-Finder/,false,"found via ""Where Do I Vote?"" score=20"
Clay,1,early_voting,https://clayelections.gov/election-information/early-voting-sites/,false,"found via ""Early Voting Sites"" score=27"
Clay,1,results,https://clayelections.gov/results/,false,"found via ""View Election Results"" score=22"
Collier,1,elections,https://www.colliervotes.gov/308/Upcoming-Elections,false,"found via link ""Upcoming Elections"" score=45"
Collier,1,polling,https://www.colliervotes.gov/165/Find-My-Precinct,false,"found via ""Find My Precinct"" score=18"
Collier,1,early_voting,https://www.colliervotes.gov/202/Vote-Early,false,"found via ""Find An Early Voting Location"" score=32"
Collier,1,results,,false,GAP: no distinct page found (likely folded into elections page)
Columbia,1,elections,https://www.votecolumbiafl.gov/election_information/upcoming_elections.php,false,"found via link ""Upcoming Elections"" score=46"
Columbia,1,polling,https://www.votecolumbiafl.gov/voter_information/precincts_and_maps.php,false,"found via ""Precincts and Maps"" score=5 (weak match — review)"
Columbia,1,early_voting,https://www.votecolumbiafl.gov/voter_information/early_voting.php,false,"found via ""Early Voting"" score=12"
Columbia,1,results,https://www.votecolumbiafl.gov/election_information/election_results.php,false,"found via ""Election Results"" score=22"
DeSoto,1,elections,https://votedesotofl.gov/election-information/election-dates/,false,"found via link ""Election Dates"" score=26"
DeSoto,1,polling,https://votedesotofl.gov/voter-information/precinct-finder/,false,"found via ""Precinct Finder"" score=18"
DeSoto,1,early_voting,https://votedesotofl.gov/voter-information/how-to-vote/early-voting/,false,"found via ""Early Voting"" score=17"
DeSoto,1,results,https://votedesotofl.gov/election-information/election-archives/,false,"found via ""Past Election Results"" score=18"
Dixie,1,elections,https://dixievotes.gov/election-information/,false,"found via link ""Election Information"" score=21"
Dixie,1,polling,https://dixievotes.gov/voter-resources/polling-places/,false,"found via ""Polling Places"" score=22"
Dixie,1,early_voting,https://dixievotes.gov/election-information/early-voting/,false,"found via ""Early Voting"" score=12"
Dixie,1,results,https://dixievotes.gov/records-data-and-maps/election-results-and-report/,false,"found via ""Election Results and Report"" score=22"
Duval,1,elections,https://www.duvalelections.gov/27/Voter-Information,false,"found via link ""Voter Information"" score=23"
Duval,1,polling,https://www.duvalelections.gov/204/Polling-Location-Finder,false,"found via ""Precinct Finder"" score=29"
Duval,1,early_voting,https://www.duvalelections.gov/236/Early-Voting,false,"found via ""Early Voting"" score=12"
Duval,1,results,https://www.duvalelections.gov/262/Data-Maps-Past-Election-Results,false,"found via ""Data/ Maps/ Past Election Results"" score=18"
Escambia,1,elections,https://escambiavotes.gov/,false,"found via link ""Elections"" score=19"
Escambia,1,polling,https://escambiavotes.gov/news/2026/07/21/polling-location-changes-for-2026-(revised),false,"found via ""Polling Location Changes For 2026 (Revis"" score=22"
Escambia,1,early_voting,https://escambiavotes.gov/early-voting-locations,false,"found via ""Early Voting"" score=19"
Escambia,1,results,https://escambiavotes.gov/election-results,false,"found via ""Election Results"" score=22"
Flagler,1,elections,https://www.flaglerelections.gov/Elections/Upcoming-Elections-in-Flagler-County,false,"found via link ""Upcoming Elections in Flagler County"" score=35"
Flagler,1,polling,https://www.flaglerelections.gov/My-Voter-Info/Find-Your-Precinct,false,"found via ""Find My Precinct"" score=18"
Flagler,1,early_voting,https://www.flaglerelections.gov/Elections/How-to-Vote/Early-Voting,false,"found via ""Early Voting Vote early in the Primary E"" score=23"
Flagler,1,results,https://www.flaglerelections.gov/Elections/Election-Results,false,"found via ""Election Results"" score=22"
Franklin,1,elections,https://www.votefranklinfl.gov/election_information/index.php,false,"found via link ""Election Information"" score=21"
Franklin,1,polling,https://www.votefranklinfl.gov/voter_information/polling_places.php,false,"found via ""Polling Places"" score=22"
Franklin,1,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Franklin,1,results,,false,GAP: no county-specific page found (best candidate was an unrelated third-party site)
Gadsden,1,elections,https://votegadsdenfl.gov/calendar/,false,"found via link ""UPCOMING ELECTIONS"" score=33"
Gadsden,1,polling,https://votegadsdenfl.gov/election-info/precinct-information/precinct-lookup/,false,"found via ""Precinct Lookup"" score=17"
Gadsden,1,early_voting,https://votegadsdenfl.gov/election-info/early-voting/,false,"found via ""Early Voting"" score=12"
Gadsden,1,results,https://votegadsdenfl.gov/election-info/election-results/,false,"found via ""Election Results"" score=22"
Gilchrist,1,elections,https://www.votegilchrist.com/election_information/election_dates.php,false,"found via link ""Election Dates"" score=26"
Gilchrist,1,polling,https://www.votegilchrist.com/information_for_voters/precinct_finder.php,false,"found via ""Where Do I Vote"" score=20"
Gilchrist,1,early_voting,https://www.votegilchrist.com/information_for_voters/early_voting.php,false,"found via ""Early Voting"" score=12"
Gilchrist,1,results,https://www.votegilchrist.com/election_information/election_results.php,false,"found via ""Election Results"" score=22"
Glades,1,elections,https://voteglades.gov/voting-info/election-dates/,false,"found via link ""Election Dates"" score=27"
Glades,1,polling,https://voteglades.gov/voting-info/precinct-finder/,false,"found via ""Polling Location"" score=30"
Glades,1,early_voting,https://voteglades.gov/voting-info/early-voting/,false,"found via ""Early Voting"" score=12"
Glades,1,results,https://voteglades.gov/voting-info/election-results/,false,"found via ""ELECTION RESULTS"" score=22"
Gulf,1,elections,https://votegulf.gov/elections/election-dates/,false,"found via link ""Events & Dates to Remember"" score=9 (weak match — review)"
Gulf,1,polling,https://votegulf.gov/voters/where-to-vote/,false,"found via ""Where to Vote"" score=12"
Gulf,1,early_voting,https://votegulf.gov/voters/early-voting/,false,"found via ""Vote Early"" score=17"
Gulf,1,results,https://votegulf.gov/elections/election-results/,false,"found via ""Election Results"" score=22"
Hamilton,1,elections,https://www.hamiltonvotesfl.gov/elections/voting-system/,false,"found via link ""Voting System"" score=8 (weak match — review)"
Hamilton,1,polling,https://www.hamiltonvotesfl.gov/voters/where-to-vote-in-person/,false,"found via ""Where to Vote in Person"" score=12"
Hamilton,1,early_voting,https://www.hamiltonvotesfl.gov/voters/vote-early/,false,"found via ""Early Voting"" score=17"
Hamilton,1,results,https://www.hamiltonvotesfl.gov/elections/election-results/,false,"found via ""Election Results"" score=22"
Hardee,1,elections,https://hardeeflvotes.gov/election-information/upcoming-elections/,false,"found via link ""Upcoming Elections"" score=46"
Hardee,1,polling,https://hardeeflvotes.gov/voter-information/find-my-precinct/,false,"found via ""Find My Precinct"" score=18"
Hardee,1,early_voting,https://hardeeflvotes.gov/2026-primary-election/,false,no standing early_voting page; using per-election hub page (shared with other types) — review
Hardee,1,results,,false,GAP: no county-specific page found (best candidate was an unrelated third-party site)
Hendry,1,elections,https://www.hendryelections.gov/voter/index.php,false,"found via link ""Voter Information"" score=23"
Hendry,1,polling,https://www.hendryelections.gov/voter/polling_locations.php,false,"found via ""Polling Locations"" score=22"
Hendry,1,early_voting,https://www.hendryelections.gov/elections/early_voting.php,false,"found via ""Early Voting"" score=12"
Hendry,1,results,https://www.hendryelections.gov/elections/election_results.php,false,"found via ""Archived Election Results"" score=22"
Hernando,1,elections,https://www.hernandovotes.gov/27/Election-Information,false,"found via link ""Election Information"" score=21"
Hernando,1,polling,https://www.hernandovotes.gov/1195/Precincts-Polling-Locations,false,"found via ""Precincts & Polling Locations"" score=27"
Hernando,1,early_voting,https://www.hernandovotes.gov/1200/Early-Voting-Locations,false,"found via ""Early Voting Locations"" score=27"
Hernando,1,results,https://www.hernandovotes.gov/1197/Past-Election-Results,false,"found via ""Past Election Results"" score=18"
Highlands,1,elections,https://www.votehighlands.gov/upcoming-elections,false,"found via link ""Upcoming Elections"" score=45"
Highlands,1,polling,https://www.votehighlands.gov/2024-local-candidates,false,no standing polling page; using per-election hub page (shared with other types) — review
Highlands,1,early_voting,https://www.votehighlands.gov/early-voting,false,"found via ""View Early Vote Sites"" score=17"
Highlands,1,results,https://www.votehighlands.gov/elections-results,false,"found via ""Elections Results"" score=8 (weak match — review)"
Hillsborough,1,elections,https://www.votehillsborough.gov/AlertCenter.aspx,false,"found via link ""Election Information"" score=21"
Hillsborough,1,polling,https://www.votehillsborough.gov/159/Voting-Precincts,false,"found via ""Look Up the Polling Place Assigned to Yo"" score=27"
Hillsborough,1,early_voting,https://www.votehillsborough.gov/281/2026-Primary-Election,false,no standing early_voting page; using per-election hub page (shared with other types) — review
Hillsborough,1,results,https://www.votehillsborough.gov/183/Election-Results,false,"found via ""Election Results"" score=22"
Holmes,1,elections,https://holmeselectionsfl.gov/voter-information/,false,"found via link ""Voter Info"" score=18"
Holmes,1,polling,https://holmeselectionsfl.gov/voter-information/where-to-vote/,false,"found via ""Where to Vote"" score=12"
