county,seat,office_city,batch,homepage
Alachua,Gainesville,Gainesville,1,https://www.votealachua.gov
Baker,Macclenny,Macclenny,1,https://votebakerfl.gov
Bay,Panama City,Panama City,1,https://www.bayvotesfl.gov
Bradford,Starke,Starke,1,https://www.votebradfordfl.gov
Brevard,Titusville,Melbourne,1,https://www.votebrevard.gov
Broward,Fort Lauderdale,Fort Lauderdale,1,https://browardvotes.gov/
Calhoun,Blountstown,Blountstown,1,https://votecalhounfl.gov/
Charlotte,Punta Gorda,Punta Gorda,1,https://www.soecharlottecountyfl.gov
Citrus,Inverness,Lecanto,1,https://www.votecitrus.gov
Clay,Green Cove Springs,Green Cove Springs,1,https://clayelections.gov/
Collier,Naples,Naples,1,https://www.colliervotes.gov
Columbia,Lake City,Lake City,1,https://www.votecolumbiafl.gov
DeSoto,Arcadia,Arcadia,1,https://votedesotofl.gov/
Dixie,Cross City,Cross City,2,https://dixievotes.gov/
Duval,Jacksonville,Jacksonville,2,https://www.duvalelections.gov
Escambia,Pensacola,Pensacola,1,https://escambiavotes.gov
Flagler,Bunnell,Bunnell,1,https://www.flaglerelections.gov/Home
Franklin,Apalachicola,Apalachicola,1,https://www.votefranklinfl.gov
Gadsden,Quincy,Quincy,2,https://votegadsdenfl.gov/
Gilchrist,Trenton,Trenton,1,https://www.votegilchrist.com
Glades,Moore Haven,Moore Haven,1,https://voteglades.gov/
Gulf,Port St. Joe,Port St. Joe,1,https://votegulf.gov/
Hamilton,Jasper,Jasper,1,https://www.hamiltonvotesfl.gov
Hardee,Wauchula,Wauchula,1,https://hardeeflvotes.gov
Hendry,LaBelle,LaBelle,1,https://www.hendryelections.gov
Hernando,Brooksville,Brooksville,1,https://www.hernandovotes.gov
Highlands,Sebring,Sebring,1,https://www.votehighlands.gov
Hillsborough,Tampa,Tampa,1,https://www.votehillsborough.gov
Holmes,Bonifay,Bonifay,1,https://holmeselectionsfl.gov/
Indian River,Vero Beach,Vero Beach,1,https://www.voteindianriver.gov
Jackson,Marianna,Marianna,1,https://votejacksonfl.gov/
Jefferson,Monticello,Monticello,1,https://jeffersonvotesfl.gov/
Lafayette,Mayo,Mayo,1,https://lafayettevotes.net/
Lake,Tavares,Tavares,1,https://www.lakevotes.gov
Lee,Fort Myers,Fort Myers,1,https://www.lee.vote
Leon,Tallahassee,Tallahassee,1,https://www.leonvotes.gov
Levy,Bronson,Bronson,2,https://www.votelevy.gov/
Liberty,Bristol,Bristol,1,https://libertycountyflsoe.gov
Madison,Madison,Madison,1,https://www.votemadison.com
Manatee,Bradenton,Bradenton,1,https://www.votemanatee.gov
Marion,Ocala,Ocala,1,https://www.votemarion.gov
Martin,Stuart,Stuart,1,https://www.martinvotes.gov
Miami-Dade,Miami,Miami,2,https://www.votemiamidade.gov/elections/home.page
Monroe,Key West,Key West,1,https://www.votemonroeflkeys.gov/
Nassau,Fernandina Beach,Yulee,1,https://www.votenassaufl.gov
Okaloosa,Crestview,Crestview,1,https://www.voteokaloosa.gov
Okeechobee,Okeechobee,Okeechobee,1,https://voteokeechobee.gov/
Orange,Orlando,Orlando,2,https://voteorangefl.gov/
Osceola,Kissimmee,Kissimmee,1,https://www.voteosceola.gov/en-us/
Palm Beach,West Palm Beach,West Palm Beach,1,https://www.votepalmbeach.gov
Pasco,Dade City,Dade City,1,https://www.pascovotes.gov
Pinellas,Clearwater,Largo,1,https://www.votepinellas.gov
Polk,Bartow,Bartow,1,https://www.polkelections.gov
Putnam,Palatka,Palatka,2,https://www.voteputnamflorida.gov/
Santa Rosa,Milton,Milton,1,https://votesantarosa.gov/
Sarasota,Sarasota,Sarasota,1,https://www.sarasotavotes.gov
Seminole,Sanford,Sanford,1,https://voteseminole.gov/
St. Johns,St. Augustine,St. Augustine,1,https://www.votesjc.gov
St. Lucie,Fort Pierce,Fort Pierce,1,https://www.stlucievotes.gov
Sumter,Bushnell,Wildwood,1,https://elections.sumtercountyfl.gov
Suwannee,Live Oak,Live Oak,1,https://www.suwanneevotes.com
Taylor,Perry,Perry,1,https://www.taylorelectionsfl.gov
Union,Lake Butler,Lake Butler,1,https://unionflvotes.com/
Volusia,DeLand,DeLand,1,https://www.volusiaelections.gov/
Wakulla,Crawfordville,Crawfordville,1,https://wakullavotes.gov/
Walton,DeFuniak Springs,DeFuniak Springs,1,https://votewalton.gov/
Washington,Chipley,Chipley,1,https://wcsoe.gov/
