county,page_type,steady_bytes,episode_bytes,min_bytes,shrink_pct,snapshots_in_episode,distinct_states_in_episode,changed_after,changed_by,restored_after,restored_by,min_duration_hours,max_duration_hours,episode_class,episode_evidence,returned_to_exact_prior_state
Baker,early_voting,2037,694,694,65.9,3,3,2026-08-17T03:53:19+00:00,2026-08-17T06:59:42+00:00,2026-08-17T09:44:55+00:00,2026-08-17T12:47:50+00:00,2.8,8.9,capture_failure,http_status=521,true
Baker,homepage,4551,694,694,84.8,3,3,2026-08-17T03:53:19+00:00,2026-08-17T06:59:42+00:00,2026-08-17T09:44:55+00:00,2026-08-17T12:47:50+00:00,2.8,8.9,capture_failure,http_status=521,true
Baker,polling,1637,694,694,57.6,3,3,2026-08-17T03:53:19+00:00,2026-08-17T06:59:42+00:00,2026-08-17T09:44:55+00:00,2026-08-17T12:47:50+00:00,2.8,8.9,capture_failure,http_status=521,true
Baker,results,1551,694,694,55.3,3,3,2026-08-17T03:53:19+00:00,2026-08-17T06:59:42+00:00,2026-08-17T09:44:55+00:00,2026-08-17T12:47:50+00:00,2.8,8.9,capture_failure,http_status=521,true
Calhoun,early_voting,15512,0,0,100.0,12,1,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,page_removed,http_status=404; body=0B,true
Calhoun,elections,13822,0,0,100.0,12,1,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,page_removed,http_status=404; body=0B,true
Calhoun,homepage,15598,823,823,94.7,12,1,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,county_change,"200, no error, plausible body",true
Calhoun,polling,15914,0,0,100.0,12,1,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,page_removed,http_status=404; body=0B,true
Calhoun,results,13822,0,0,100.0,12,1,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,page_removed,http_status=404; body=0B,true
Dixie,early_voting,10106,867,867,91.4,12,1,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,county_change,"200, no error, plausible body",true
Dixie,elections,8982,867,867,90.3,12,1,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,county_change,"200, no error, plausible body",true
Dixie,homepage,11288,867,867,92.3,12,1,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,county_change,"200, no error, plausible body",true
Dixie,polling,9327,867,867,90.7,12,1,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,county_change,"200, no error, plausible body",true
Dixie,results,9863,867,867,91.2,12,1,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,county_change,"200, no error, plausible body",true
Gadsden,early_voting,5694,0,0,100.0,12,1,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,page_removed,http_status=404; body=0B,true
Gadsden,elections,4128,0,0,100.0,12,1,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,page_removed,http_status=404; body=0B,false
Gadsden,homepage,5546,889,889,84.0,12,3,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,county_change,"200, no error, plausible body",false
Gadsden,polling,3951,0,0,100.0,12,1,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,page_removed,http_status=404; body=0B,true
Gadsden,results,3953,0,0,100.0,12,1,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,page_removed,http_status=404; body=0B,true
Holmes,elections,7671,1014,1014,86.8,12,2,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,county_change,"200, no error, plausible body",true
Holmes,homepage,10769,1014,1014,90.6,12,2,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,county_change,"200, no error, plausible body",true
Holmes,polling,5911,1014,1014,82.8,12,2,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,county_change,"200, no error, plausible body",true
Jackson,early_voting,5177,935,935,81.9,12,2,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,county_change,"200, no error, plausible body",true
Jackson,elections,3161,935,935,70.4,12,2,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,county_change,"200, no error, plausible body",true
Jackson,homepage,8395,935,935,88.9,12,2,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,county_change,"200, no error, plausible body",true
Jackson,polling,3154,935,935,70.4,12,2,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,county_change,"200, no error, plausible body",true
Jackson,results,3016,935,935,69.0,12,2,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,county_change,"200, no error, plausible body",true
Lafayette,early_voting,7083,0,0,100.0,12,1,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,page_removed,http_status=404; body=0B,true
Lafayette,homepage,8329,881,881,89.4,12,1,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,county_change,"200, no error, plausible body",true
Lafayette,polling,6626,0,0,100.0,12,1,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,page_removed,http_status=404; body=0B,true
Lafayette,results,6216,0,0,100.0,12,1,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,page_removed,http_status=404; body=0B,true
Liberty,elections,4659,0,0,100.0,12,1,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,page_removed,http_status=404; body=0B,true
Liberty,homepage,3901,866,866,77.8,12,2,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,county_change,"200, no error, plausible body",true
Liberty,polling,3534,0,0,100.0,12,1,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,page_removed,http_status=404; body=0B,true
Liberty,results,2707,0,0,100.0,12,1,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,page_removed,http_status=404; body=0B,true
Wakulla,elections,4020,869,869,78.4,12,1,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,county_change,"200, no error, plausible body",true
Wakulla,homepage,5397,869,869,83.9,12,1,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,county_change,"200, no error, plausible body",true
Wakulla,polling,5033,869,869,82.7,12,1,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,county_change,"200, no error, plausible body",true
Wakulla,results,3215,869,869,73.0,12,1,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,county_change,"200, no error, plausible body",true
Walton,elections,7303,0,0,100.0,12,1,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,page_removed,http_status=404; body=0B,true
Walton,homepage,8338,1030,1030,87.6,12,1,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,county_change,"200, no error, plausible body",true
Walton,polling,9345,0,0,100.0,12,1,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,page_removed,http_status=404; body=0B,true
Walton,results,8071,0,0,100.0,12,1,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,page_removed,http_status=404; body=0B,true
Washington,early_voting,4460,852,852,80.9,12,2,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,county_change,"200, no error, plausible body",true
Washington,elections,5453,852,852,84.4,12,2,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,county_change,"200, no error, plausible body",true
Washington,homepage,6509,852,852,86.9,12,2,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,county_change,"200, no error, plausible body",true
Washington,polling,4653,852,852,81.7,12,2,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,county_change,"200, no error, plausible body",true
Washington,results,2939,852,852,71.0,12,2,2026-08-18T01:20:06+00:00,2026-08-18T03:49:49+00:00,2026-08-19T09:40:20+00:00,2026-08-19T12:51:08+00:00,29.8,35.5,county_change,"200, no error, plausible body",true
Baker,early_voting,2037,692,692,66.0,3,3,2026-08-18T03:49:49+00:00,2026-08-18T06:47:22+00:00,2026-08-18T09:37:50+00:00,2026-08-18T12:51:27+00:00,2.8,9.0,capture_failure,http_status=521,true
Baker,homepage,4551,692,692,84.8,3,3,2026-08-18T03:49:49+00:00,2026-08-18T06:47:22+00:00,2026-08-18T09:37:50+00:00,2026-08-18T12:51:27+00:00,2.8,9.0,capture_failure,http_status=521,false
Baker,polling,1637,692,692,57.7,3,3,2026-08-18T03:49:49+00:00,2026-08-18T06:47:22+00:00,2026-08-18T09:37:50+00:00,2026-08-18T12:51:27+00:00,2.8,9.0,capture_failure,http_status=521,true
Baker,results,1551,692,692,55.4,3,3,2026-08-18T03:49:49+00:00,2026-08-18T06:47:22+00:00,2026-08-18T09:37:50+00:00,2026-08-18T12:51:27+00:00,2.8,9.0,capture_failure,http_status=521,true
Baker,early_voting,2037,692,692,66.0,3,3,2026-08-20T03:50:11+00:00,2026-08-20T06:51:16+00:00,2026-08-20T09:37:55+00:00,2026-08-20T12:54:11+00:00,2.8,9.1,capture_failure,http_status=521,true
Baker,homepage,4551,692,692,84.8,3,3,2026-08-20T03:50:11+00:00,2026-08-20T06:51:16+00:00,2026-08-20T09:37:55+00:00,2026-08-20T12:54:11+00:00,2.8,9.1,capture_failure,http_status=521,true
Baker,polling,1637,692,692,57.7,3,3,2026-08-20T03:50:11+00:00,2026-08-20T06:51:16+00:00,2026-08-20T09:37:55+00:00,2026-08-20T12:54:11+00:00,2.8,9.1,capture_failure,http_status=521,true
Baker,results,1551,692,692,55.4,3,3,2026-08-20T03:50:11+00:00,2026-08-20T06:51:16+00:00,2026-08-20T09:37:55+00:00,2026-08-20T12:54:11+00:00,2.8,9.1,capture_failure,http_status=521,true
Baker,early_voting,2037,692,692,66.0,3,3,2026-08-21T03:53:11+00:00,2026-08-21T06:51:42+00:00,2026-08-21T09:40:23+00:00,2026-08-21T12:53:08+00:00,2.8,9.0,capture_failure,http_status=521,true
Baker,homepage,4551,692,692,84.8,3,3,2026-08-21T03:53:11+00:00,2026-08-21T06:51:42+00:00,2026-08-21T09:40:23+00:00,2026-08-21T12:53:08+00:00,2.8,9.0,capture_failure,http_status=521,false
Baker,polling,1637,692,692,57.7,3,3,2026-08-21T03:53:11+00:00,2026-08-21T06:51:42+00:00,2026-08-21T09:40:23+00:00,2026-08-21T12:53:08+00:00,2.8,9.0,capture_failure,http_status=521,true
Baker,results,1551,692,692,55.4,3,3,2026-08-21T03:53:11+00:00,2026-08-21T06:51:42+00:00,2026-08-21T09:40:23+00:00,2026-08-21T12:53:08+00:00,2.8,9.0,capture_failure,http_status=521,true
Highlands,early_voting,3916,0,0,100.0,1,1,2026-08-21T15:36:39+00:00,2026-08-21T18:40:44+00:00,2026-08-21T18:40:44+00:00,2026-08-21T21:28:33+00:00,0.0,5.9,capture_failure,error=plain_fetch_error: ConnectError: [SSL: UNEXPECTED_EOF_WHILE_,true
Highlands,elections,3574,0,0,100.0,1,1,2026-08-21T15:36:39+00:00,2026-08-21T18:40:44+00:00,2026-08-21T18:40:44+00:00,2026-08-21T21:28:33+00:00,0.0,5.9,capture_failure,error=plain_fetch_error: ConnectError: [SSL: UNEXPECTED_EOF_WHILE_,true
Highlands,homepage,6376,0,0,100.0,1,1,2026-08-21T15:36:39+00:00,2026-08-21T18:40:44+00:00,2026-08-21T18:40:44+00:00,2026-08-21T21:28:33+00:00,0.0,5.9,capture_failure,error=plain_fetch_error: ConnectError: [SSL: UNEXPECTED_EOF_WHILE_,true
Highlands,polling,3431,0,0,100.0,1,1,2026-08-21T15:36:39+00:00,2026-08-21T18:40:44+00:00,2026-08-21T18:40:44+00:00,2026-08-21T21:28:33+00:00,0.0,5.9,capture_failure,error=plain_fetch_error: ConnectError: [SSL: UNEXPECTED_EOF_WHILE_,true
Highlands,results,3362,0,0,100.0,1,1,2026-08-21T15:36:39+00:00,2026-08-21T18:40:44+00:00,2026-08-21T18:40:44+00:00,2026-08-21T21:28:33+00:00,0.0,5.9,capture_failure,error=plain_fetch_error: ConnectError: [SSL: UNEXPECTED_EOF_WHILE_,true
Nassau,early_voting,3708,28,28,99.2,1,1,2026-08-21T15:36:39+00:00,2026-08-21T18:40:44+00:00,2026-08-21T18:40:44+00:00,2026-08-21T21:28:33+00:00,0.0,5.9,capture_failure,http_status=403,true
Nassau,elections,3852,28,28,99.3,1,1,2026-08-21T15:36:39+00:00,2026-08-21T18:40:44+00:00,2026-08-21T18:40:44+00:00,2026-08-21T21:28:33+00:00,0.0,5.9,capture_failure,http_status=403,true
Nassau,homepage,6789,28,28,99.6,1,1,2026-08-21T15:36:39+00:00,2026-08-21T18:40:44+00:00,2026-08-21T18:40:44+00:00,2026-08-21T21:28:33+00:00,0.0,5.9,capture_failure,http_status=403,true
Nassau,polling,3262,28,28,99.1,1,1,2026-08-21T15:36:39+00:00,2026-08-21T18:40:44+00:00,2026-08-21T18:40:44+00:00,2026-08-21T21:28:33+00:00,0.0,5.9,capture_failure,http_status=403,true
Nassau,results,2377,28,28,98.8,1,1,2026-08-21T15:36:39+00:00,2026-08-21T18:40:44+00:00,2026-08-21T18:40:44+00:00,2026-08-21T21:28:33+00:00,0.0,5.9,capture_failure,http_status=403,true
St. Johns,early_voting,3893,28,28,99.3,1,1,2026-08-21T15:36:39+00:00,2026-08-21T18:40:44+00:00,2026-08-21T18:40:44+00:00,2026-08-21T21:28:33+00:00,0.0,5.9,capture_failure,http_status=403,true
St. Johns,elections,5528,28,28,99.5,1,1,2026-08-21T15:36:39+00:00,2026-08-21T18:40:44+00:00,2026-08-21T18:40:44+00:00,2026-08-21T21:28:33+00:00,0.0,5.9,capture_failure,http_status=403,true
St. Johns,homepage,5269,28,28,99.5,1,1,2026-08-21T15:36:39+00:00,2026-08-21T18:40:44+00:00,2026-08-21T18:40:44+00:00,2026-08-21T21:28:33+00:00,0.0,5.9,capture_failure,http_status=403,true
St. Johns,polling,3464,28,28,99.2,1,1,2026-08-21T15:36:39+00:00,2026-08-21T18:40:44+00:00,2026-08-21T18:40:44+00:00,2026-08-21T21:28:33+00:00,0.0,5.9,capture_failure,http_status=403,true
St. Johns,results,4911,28,28,99.4,1,1,2026-08-21T15:36:39+00:00,2026-08-21T18:40:44+00:00,2026-08-21T18:40:44+00:00,2026-08-21T21:28:33+00:00,0.0,5.9,capture_failure,http_status=403,true
Baker,early_voting,2037,692,692,66.0,3,3,2026-08-22T03:45:40+00:00,2026-08-22T06:43:45+00:00,2026-08-22T09:29:56+00:00,2026-08-22T12:42:36+00:00,2.8,8.9,capture_failure,http_status=521,true
Baker,homepage,4551,692,692,84.8,3,3,2026-08-22T03:45:40+00:00,2026-08-22T06:43:45+00:00,2026-08-22T09:29:56+00:00,2026-08-22T12:42:36+00:00,2.8,8.9,capture_failure,http_status=521,false
Baker,polling,1637,692,692,57.7,3,3,2026-08-22T03:45:40+00:00,2026-08-22T06:43:45+00:00,2026-08-22T09:29:56+00:00,2026-08-22T12:42:36+00:00,2.8,8.9,capture_failure,http_status=521,true
Baker,results,1551,692,692,55.4,3,3,2026-08-22T03:45:40+00:00,2026-08-22T06:43:45+00:00,2026-08-22T09:29:56+00:00,2026-08-22T12:42:36+00:00,2.8,8.9,capture_failure,http_status=521,true
Baker,early_voting,2037,697,692,66.0,3,3,2026-08-23T03:53:37+00:00,2026-08-23T06:44:49+00:00,2026-08-23T09:30:28+00:00,2026-08-23T12:43:34+00:00,2.8,8.8,capture_failure,http_status=521,true
Baker,homepage,4551,697,692,84.8,3,3,2026-08-23T03:53:37+00:00,2026-08-23T06:44:49+00:00,2026-08-23T09:30:28+00:00,2026-08-23T12:43:34+00:00,2.8,8.8,capture_failure,http_status=521,true
Baker,polling,1637,697,692,57.7,3,3,2026-08-23T03:53:37+00:00,2026-08-23T06:44:49+00:00,2026-08-23T09:30:28+00:00,2026-08-23T12:43:34+00:00,2.8,8.8,capture_failure,http_status=521,true
Baker,results,1551,697,692,55.4,3,3,2026-08-23T03:53:37+00:00,2026-08-23T06:44:49+00:00,2026-08-23T09:30:28+00:00,2026-08-23T12:43:34+00:00,2.8,8.8,capture_failure,http_status=521,true
Duval,early_voting,5827,0,0,100.0,1,1,2026-08-23T06:44:49+00:00,2026-08-23T08:32:03+00:00,2026-08-23T08:32:03+00:00,2026-08-23T09:30:28+00:00,0.0,2.8,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
Duval,elections,4782,0,0,100.0,1,1,2026-08-23T06:44:49+00:00,2026-08-23T08:32:03+00:00,2026-08-23T08:32:03+00:00,2026-08-23T09:30:28+00:00,0.0,2.8,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
Duval,homepage,2175,0,0,100.0,1,1,2026-08-23T06:44:49+00:00,2026-08-23T08:32:03+00:00,2026-08-23T08:32:03+00:00,2026-08-23T09:30:28+00:00,0.0,2.8,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
Duval,polling,2718,0,0,100.0,1,1,2026-08-23T06:44:49+00:00,2026-08-23T08:32:03+00:00,2026-08-23T08:32:03+00:00,2026-08-23T09:30:28+00:00,0.0,2.8,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
Duval,results,2860,0,0,100.0,1,1,2026-08-23T06:44:49+00:00,2026-08-23T08:32:03+00:00,2026-08-23T08:32:03+00:00,2026-08-23T09:30:28+00:00,0.0,2.8,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
Hillsborough,early_voting,5669,0,0,100.0,1,1,2026-08-23T06:44:49+00:00,2026-08-23T08:32:03+00:00,2026-08-23T08:32:03+00:00,2026-08-23T09:30:28+00:00,0.0,2.8,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
