county,level,sec203_spanish,sec203_other_language,distinct_spanish_words,pages_with_spanish,spanish_links,translate_widget
Alachua,spanish_link,false,,0,,5,false
Baker,spanish_link,false,,0,,4,true
Bay,spanish_link,false,,0,,5,true
Bradford,spanish_link,false,,0,,5,false
Brevard,spanish_content,false,,6,homepage,0,true
Broward,spanish_link,true,,0,,1,true
Calhoun,spanish_link,false,,0,,5,false
Charlotte,none,false,,0,,0,false
Citrus,spanish_link,false,,0,,5,true
Clay,translate_widget,false,,0,,0,true
Collier,spanish_link,true,,0,,1,true
Columbia,spanish_content,false,,4,results,5,false
DeSoto,translate_widget,true,,0,,0,true
Dixie,spanish_link,false,,0,,5,false
Duval,translate_widget,false,,0,,0,true
Escambia,spanish_link,false,,0,,4,true
Flagler,spanish_link,false,,0,,5,false
Franklin,spanish_link,false,,0,,3,false
Gadsden,spanish_link,false,,0,,5,false
Gilchrist,spanish_link,false,,0,,5,false
Glades,translate_widget,false,Seminole (American Indian language),0,,0,true
Gulf,spanish_link,false,,0,,5,true
Hamilton,translate_widget,false,,0,,0,true
Hardee,translate_widget,true,,0,,0,true
Hendry,spanish_content,true,,5,elections,5,false
Hernando,none,false,,0,,0,false
Highlands,spanish_link,false,,0,,5,false
Hillsborough,spanish_link,true,,0,,1,true
Holmes,spanish_link,false,,0,,3,false
Indian River,spanish_link,false,,0,,5,false
Jackson,spanish_link,false,,0,,5,false
Jefferson,translate_widget,false,,0,,0,true
Lafayette,spanish_link,false,,0,,4,false
Lake,translate_widget,false,,0,,0,true
Lee,spanish_link,true,,0,,1,true
Leon,spanish_link,false,,0,,5,false
Levy,spanish_link,false,,0,,5,true
Liberty,spanish_link,false,,0,,4,false
Madison,spanish_link,false,,0,,5,true
Manatee,spanish_link,false,,0,,5,true
Marion,none,false,,0,,0,false
Martin,spanish_link,false,,0,,1,true
Miami-Dade,spanish_link,true,,0,,2,false
Monroe,spanish_link,false,,0,,1,true
Nassau,none,false,,0,,0,false
Okaloosa,spanish_link,false,,0,,5,true
Okeechobee,spanish_link,false,,0,,1,true
Orange,spanish_link,true,,0,,1,true
Osceola,spanish_link,true,,0,,5,false
Palm Beach,translate_widget,true,,0,,0,true
Pasco,spanish_link,false,,0,,5,false
Pinellas,translate_widget,true,,0,,0,true
Polk,translate_widget,true,,0,,0,true
Putnam,spanish_link,false,,0,,5,false
Santa Rosa,translate_widget,false,,0,,0,true
Sarasota,translate_widget,false,,0,,0,true
Seminole,spanish_link,true,,0,,1,true
St. Johns,none,false,,0,,0,false
St. Lucie,spanish_link,false,,0,,5,false
Sumter,translate_widget,false,,0,,0,true
Suwannee,translate_widget,false,,0,,0,true
Taylor,translate_widget,false,,0,,0,true
Union,translate_widget,false,,0,,0,true
Volusia,translate_widget,false,,0,,0,true
Wakulla,spanish_link,false,,0,,4,true
Walton,spanish_link,false,,0,,4,false
Washington,spanish_link,false,,0,,5,false
