county,batch,page_type,url,external,notes,verify_status,http_status,final_url,audit_confidence,audit_reason,flag_for_review
Alachua,1,uocava,,false,GAP: no distinct UOCAVA page found,gap,,,,,
Baker,1,uocava,,false,GAP: no distinct UOCAVA page found,gap,,,,,
Bay,1,uocava,https://www.bayvotesfl.gov/voters/military-overseas/,false,"found via ""Military & Overseas Voters"" score=39 terms=uocava_form+fvap+military_overseas_voter+citizen_abroad",ok,200,https://www.bayvotesfl.gov/voters/military-overseas/,,,
Bradford,1,uocava,,false,GAP: no distinct UOCAVA page found,gap,,,,,
Brevard,1,uocava,https://www.votebrevard.gov/Ballots-by-Mail/Mail-Ballots-for-Military-and-Overseas-Voters,false,"found via ""Mail Ballots for Military and Overseas V"" score=39 terms=military_overseas_voter",ok,200,https://www.votebrevard.gov/Ballots-by-Mail/Mail-Ballots-for-Military-and-Overseas-Voters,,,
Broward,1,uocava,https://browardvotes.gov/voter-resources/militaryoverseas-voting,false,"found via ""Military/Overseas Voting"" score=25 terms=uocava+uocava_form+fvap+military_overseas_voter+citizen_abroad",ok,200,https://browardvotes.gov/voter-resources/militaryoverseas-voting,,,
Calhoun,1,uocava,https://votecalhounfl.gov/military-overseas/,false,"found via ""Military & Overseas"" score=25 terms=military_overseas_voter",ok,200,https://votecalhounfl.gov/military-overseas/,,,
Charlotte,1,uocava,https://www.soecharlottecountyfl.gov/1221/Military-Overseas-Citizens-Voting,false,"found via ""Military & Overseas Citizens Voting"" score=36 terms=uocava+uocava_form+military_overseas_voter+citizen_abroad",ok,200,https://www.soecharlottecountyfl.gov/1221/Military-Overseas-Citizens-Voting,,,
Citrus,1,uocava,https://www.votecitrus.gov/215/Uniformed-Overseas-Citizens-Absentee-Vot,false,"found via ""Uniformed & Overseas Citizens Absentee V"" score=32 terms=uocava+uocava_form+fvap+military_overseas_voter+citizen_abroad",ok,200,https://www.votecitrus.gov/215/Uniformed-Overseas-Citizens-Absentee-Vot,,,
Clay,1,uocava,,false,GAP: no distinct UOCAVA page found,gap,,,,,
Collier,1,uocava,,false,"GAP: no reachable HTML UOCAVA page (CivicAlerts.aspx?AID=123 -> dated notice, not a standing page)",gap,,,,,
Columbia,1,uocava,,false,GAP: no distinct UOCAVA page found,gap,,,,,
DeSoto,1,uocava,,false,GAP: no distinct UOCAVA page found,gap,,,,,
Dixie,2,uocava,https://dixievotes.gov/voter-registration/military-overseas-voters/,false,"found via ""Military/Overseas Voters"" score=39 terms=uocava_form+fvap+military_overseas_voter+citizen_abroad",ok,200,https://dixievotes.gov/voter-registration/military-overseas-voters/,,,
Duval,2,uocava,https://www.duvalelections.gov/212/Request-a-Ballot,false,"found via ""military and overseas voters"" score=39 terms=uocava+uocava_form+military_overseas_voter",ok,200,https://www.duvalelections.gov/212/Request-a-Ballot,,,
Escambia,1,uocava,https://escambiavotes.gov/absentee-voting-and-registration,false,"found via ""Military and Overseas Voters"" score=39 terms=uocava+uocava_form+fvap+military_overseas_voter+citizen_abroad",ok,200,https://escambiavotes.gov/absentee-voting-and-registration,,,
Flagler,1,uocava,https://www.flaglerelections.gov/Elections/Military-Overseas-Voting,false,"found via ""Military & Overseas Voting"" score=25 terms=uocava+uocava_form+fvap+military_overseas_voter+citizen_abroad",ok,200,https://www.flaglerelections.gov/Elections/Military-Overseas-Voting,,,
Franklin,1,uocava,,false,GAP: no distinct UOCAVA page found,gap,,,,,
Gadsden,2,uocava,,false,GAP: no distinct UOCAVA page found,gap,,,,,
Gilchrist,1,uocava,,false,GAP: no distinct UOCAVA page found,gap,,,,,
Glades,1,uocava,,false,GAP: no distinct UOCAVA page found,gap,,,,,
Gulf,1,uocava,,false,GAP: no distinct UOCAVA page found,gap,,,,,
Hamilton,1,uocava,,false,GAP: no distinct UOCAVA page found,gap,,,,,
