state,county,status,url,final_url,http_status,platform,bytes,attempts
AL,Autauga County,not_found,,,,not_found,,autaugacountyal.gov:ConnectError;autaugacounty.gov:ConnectError;co.autauga.al.us:ConnectError;autaugacountyalabama.gov:ConnectError
AL,Baldwin County,resolved,https://baldwincountyal.gov,https://baldwincountyal.gov,200,other/unknown,80084,first_try
AL,Barbour County,not_found,,,,not_found,,barbourcountyal.gov:RemoteProtocolError;barbourcounty.gov:ConnectError;co.barbour.al.us:ConnectError;barbourcountyalabama.gov:ConnectError
AL,Bibb County,not_found,,,,not_found,,bibbcountyal.gov:ConnectError;bibbcounty.gov:ConnectError;co.bibb.al.us:ConnectError;bibbcountyalabama.gov:ConnectError
AL,Blount County,resolved,https://blountcountyal.gov,https://blountcountyal.gov,200,WordPress,70397,first_try
AL,Bullock County,not_found,,,,not_found,,bullockcountyal.gov:ConnectError;bullockcounty.gov:ConnectError;co.bullock.al.us:ConnectError;bullockcountyalabama.gov:ConnectError
AL,Butler County,not_found,,,,not_found,,butlercountyal.gov:ConnectError;butlercounty.gov:ConnectError;co.butler.al.us:ConnectError;butlercountyalabama.gov:ConnectError
AL,Calhoun County,resolved,https://calhouncountyal.gov,https://calhouncountyal.gov,200,other/unknown,15962,first_try
AL,Chambers County,resolved,https://chamberscountyal.gov,https://chamberscountyal.gov,200,Joomla,48156,first_try
AL,Cherokee County,not_found,,,,not_found,,cherokeecountyal.gov:ConnectError;cherokeecounty.gov:ConnectError;co.cherokee.al.us:ConnectError;cherokeecountyalabama.gov:ConnectError
AL,Chilton County,not_found,,,,not_found,,chiltoncountyal.gov:ConnectError;chiltoncounty.gov:ConnectError;co.chilton.al.us:ConnectError;chiltoncountyalabama.gov:ConnectError
AL,Choctaw County,not_found,,,,not_found,,choctawcountyal.gov:ConnectError;choctawcounty.gov:ConnectError;co.choctaw.al.us:ConnectError;choctawcountyalabama.gov:ConnectError
AL,Clarke County,not_found,,,,not_found,,clarkecountyal.gov:ConnectError;clarkecounty.gov:403;co.clarke.al.us:ConnectError;clarkecountyalabama.gov:ConnectError
AL,Clay County,not_found,,,,not_found,,claycountyal.gov:ConnectError;claycounty.gov:ConnectError;co.clay.al.us:ConnectError;claycountyalabama.gov:ConnectError
AL,Cleburne County,not_found,,,,not_found,,cleburnecountyal.gov:ConnectError;cleburnecounty.gov:ConnectError;co.cleburne.al.us:ConnectError;cleburnecountyalabama.gov:ConnectError
AL,Coffee County,not_found,,,,not_found,,coffeecountyal.gov:ConnectError;coffeecounty.gov:ConnectError;co.coffee.al.us:401;coffeecountyalabama.gov:ConnectError
AL,Colbert County,not_found,,,,not_found,,colbertcountyal.gov:ConnectError;colbertcounty.gov:ConnectError;co.colbert.al.us:ConnectError;colbertcountyalabama.gov:ConnectError
AL,Conecuh County,not_found,,,,not_found,,conecuhcountyal.gov:ConnectError;conecuhcounty.gov:ConnectError;co.conecuh.al.us:ConnectError;conecuhcountyalabama.gov:ConnectError
AL,Coosa County,resolved,https://coosacountyal.gov,https://coosacountyal.gov/owa/auth/logon.aspx?url=https%3a%2f%2fcoosacountyal.gov%2fowa%2f&reason=0,200,other/unknown,27980,first_try
