county,batch,page_type,url,external,notes,verify_status,http_status,final_url,audit_confidence,audit_reason,flag_for_review
Alachua,1,voter_registration,https://www.votealachua.gov/205/Register-to-Vote-or-Update-Registration,false,"found via ""Register to Vote"" score=34",ok,200,https://www.votealachua.gov/205/Register-to-Vote-or-Update-Registration,,,
Baker,1,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Bay,1,voter_registration,https://www.bayvotesfl.gov/events/book-closing-general-election/,false,"found via ""Oct 5, 2026 Deadline to register to vote"" score=1 (weak match — review)",ok,200,https://www.bayvotesfl.gov/events/book-closing-general-election/,,,weak-score
Bradford,1,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Brevard,1,voter_registration,https://www.votebrevard.gov/Voter-Information/Register-to-Vote,false,"found via ""Register to Vote"" score=31",ok,200,https://www.votebrevard.gov/Voter-Information/Register-to-Vote,,,
Broward,1,voter_registration,https://browardvotes.gov/voter-resources/how-register,false,"found via ""How to Register"" score=30",ok,200,https://browardvotes.gov/voter-resources/how-register,,,
Calhoun,1,voter_registration,https://votecalhounfl.gov/voter-information/register-to-vote/,false,"found via ""Register To Vote"" score=31",ok,200,https://votecalhounfl.gov/voter-information/register-to-vote/,,,
Charlotte,1,voter_registration,https://www.soecharlottecountyfl.gov/1270/How-To-Register-to-Vote,false,"found via ""How To Register to Vote"" score=38",ok,200,https://www.soecharlottecountyfl.gov/1270/How-To-Register-to-Vote,,,
Citrus,1,voter_registration,https://www.votecitrus.gov/286/How-to-Register-to-Vote,false,"found via ""How to Register to Vote"" score=44",ok,200,https://www.votecitrus.gov/286/How-to-Register-to-Vote,,,
Clay,1,voter_registration,https://clayelections.gov/voter-information/register-to-vote-update-info/,false,"found via ""Register to Vote"" score=31",ok,200,https://clayelections.gov/voter-information/register-to-vote-update-info/,,,
Collier,1,voter_registration,https://www.colliervotes.gov/161/Register-to-Vote-Update-Voter-Registrati,false,"found via ""Register to Vote / Update Voter Registra"" score=39",ok,200,https://www.colliervotes.gov/161/Register-to-Vote-Update-Voter-Registrati,,,
Columbia,1,voter_registration,https://www.votecolumbiafl.gov/voter_information/voter_registration.php,false,"found via ""Voter Registration"" score=32",ok,200,https://www.votecolumbiafl.gov/voter_information/voter_registration.php,,,
DeSoto,1,voter_registration,https://votedesotofl.gov/voter-information/register-to-vote/,false,"found via ""Register to Vote Voter registration info"" score=39",ok,200,https://votedesotofl.gov/voter-information/register-to-vote/,,,
Dixie,2,voter_registration,https://dixievotes.gov/voter-registration/,false,"found via ""Voter Registration"" score=32",ok,200,https://dixievotes.gov/voter-registration/,,,
Duval,2,voter_registration,https://www.duvalelections.gov/207/Forms-Publications,false,"found via ""Voter Registration Application"" score=44",ok,200,https://www.duvalelections.gov/207/Forms-Publications,,,
Escambia,1,voter_registration,https://escambiavotes.gov/register-to-vote,false,"found via ""REGISTER TO VOTE"" score=31",ok,200,https://escambiavotes.gov/register-to-vote,,,
Flagler,1,voter_registration,https://www.flaglerelections.gov/Register-to-Vote,false,"found via ""Register to Vote"" score=31",ok,200,https://www.flaglerelections.gov/Register-to-Vote,,,
Franklin,1,voter_registration,https://www.votefranklinfl.gov/voter_information/register_to_vote.php,false,"found via ""Register to Vote"" score=31",ok,200,https://www.votefranklinfl.gov/voter_information/register_to_vote.php,,,
Gadsden,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Gilchrist,1,voter_registration,https://www.votegilchrist.com/voter_registration/index.php,false,"found via ""Voter Registration"" score=32",ok,200,https://www.votegilchrist.com/voter_registration/index.php,,,
Glades,1,voter_registration,https://voteglades.gov/registration-info-2/registration-deadlines/,false,"found via ""Registration Deadlines"" score=10 (weak match — review)",ok,200,https://voteglades.gov/registration-info-2/registration-deadlines/,,,weak-score
Gulf,1,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Hamilton,1,voter_registration,https://www.hamiltonvotesfl.gov/voters/register-to-vote/,false,"found via ""Register to Vote"" score=31",ok,200,https://www.hamiltonvotesfl.gov/voters/register-to-vote/,,,
Hardee,1,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Hendry,1,voter_registration,https://www.hendryelections.gov/voter/online_voter_registration.php,false,"found via ""Online Voter Registration"" score=20 [after 1 rejected]",ok,200,https://www.hendryelections.gov/voter/online_voter_registration.php,,,
Hernando,1,voter_registration,https://www.hernandovotes.gov/1213/Online-Voter-Registration,false,"found via ""Register to Vote"" score=41",ok,200,https://www.hernandovotes.gov/1213/Online-Voter-Registration,,,
Highlands,1,voter_registration,https://www.votehighlands.gov/new-page,false,"found via ""Check Registration"" score=6 (weak match — review) [after 1 rejected]",ok,200,https://www.votehighlands.gov/new-page,,,weak-score
Hillsborough,1,voter_registration,https://www.votehillsborough.gov/168/Register-to-Vote,false,"found via ""Register to Vote"" score=31",ok,200,https://www.votehillsborough.gov/168/Register-to-Vote,,,
Holmes,1,voter_registration,https://holmeselectionsfl.gov/voter-information/register-to-vote/,false,"found via ""Register to Vote"" score=31",ok,200,https://holmeselectionsfl.gov/voter-information/register-to-vote/,,,
Indian River,1,voter_registration,https://www.voteindianriver.gov/voter_registration/register_to_vote_update_your_voter_record.php,false,"found via ""Register to Vote"" score=41",ok,200,https://www.voteindianriver.gov/voter_registration/register_to_vote_update_your_voter_record.php,,,
Jackson,1,voter_registration,https://votejacksonfl.gov/voter-education/register-to-vote-or-update-your-registration/,false,"found via ""Update Your Registration"" score=24",ok,200,https://votejacksonfl.gov/voter-education/register-to-vote-or-update-your-registration/,,,
Jefferson,1,voter_registration,https://jeffersonvotesfl.gov/register-to-vote/,false,"found via ""Register to Vote"" score=31",ok,200,https://jeffersonvotesfl.gov/register-to-vote/,,,
Lafayette,1,voter_registration,https://lafayettevotes.net/voter-registration/,false,"found via ""Voter Registration"" score=32",ok,200,https://lafayettevotes.net/voter-registration/,,,
Lake,1,voter_registration,https://www.lakevotes.gov/243/Voter-Registration,false,"found via ""Voter Registration"" score=32",ok,200,https://www.lakevotes.gov/243/Voter-Registration,,,
Lee,1,voter_registration,https://www.lee.vote/290/How-Do-I-Register-to-Vote,false,"found via ""Register to Vote"" score=31 [after 2 rejected]",ok,200,https://www.lee.vote/290/How-Do-I-Register-to-Vote,,,
Leon,1,voter_registration,https://www.leonvotes.gov/Registration/Update-Your-Registration,false,"found via ""voter registration application"" score=48",ok,200,https://www.leonvotes.gov/Registration/Update-Your-Registration,,,
Levy,2,voter_registration,https://www.votelevy.gov/voters/register-to-vote/,false,"found via ""Register to Vote"" score=31",ok,200,https://www.votelevy.gov/voters/register-to-vote/,,,
Liberty,1,voter_registration,https://libertycountyflsoe.gov/voter-information/voter-registration/,false,"found via ""Register to Vote"" score=35",ok,200,https://libertycountyflsoe.gov/voter-information/voter-registration/,,,
Madison,1,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Manatee,1,voter_registration,https://www.votemanatee.gov/voter-registration/,false,"found via ""Register to Vote"" score=41",ok,200,https://www.votemanatee.gov/voter-registration/,,,
Marion,1,voter_registration,https://www.votemarion.gov/307/Register-to-Vote,false,"found via ""Register to Vote"" score=31",ok,200,https://www.votemarion.gov/307/Register-to-Vote,,,
Martin,1,voter_registration,https://www.martinvotes.gov/voter-information/register-to-vote/,false,"found via ""Register to Vote"" score=31",ok,200,https://www.martinvotes.gov/voter-information/register-to-vote/,,,
Miami-Dade,2,voter_registration,https://www.votemiamidade.gov/elections/voters/registration.page,false,"found via ""Register to Vote"" score=34",ok,200,https://www.votemiamidade.gov/elections/voters/registration.page,,,
Monroe,1,voter_registration,https://www.votemonroeflkeys.gov/Voter-Information/Voter-Registration,false,"found via ""register to vote"" score=41",ok,200,https://www.votemonroeflkeys.gov/Voter-Information/Voter-Registration,,,
Nassau,1,voter_registration,https://www.votenassaufl.gov/register-to-vote,false,"found via ""Register to Vote"" score=31",ok,200,https://www.votenassaufl.gov/register-to-vote,,,
Okaloosa,1,voter_registration,https://www.voteokaloosa.gov/voters/register-to-vote/,false,"found via ""Register to Vote"" score=31",ok,200,https://www.voteokaloosa.gov/voters/register-to-vote/,,,
Okeechobee,1,voter_registration,https://voteokeechobee.gov/voter-information/student-services/,false,"found via ""icon 23 star Created with Sketch. Studen"" score=27",ok,200,https://voteokeechobee.gov/voter-information/student-services/,,,
Orange,2,voter_registration,https://voteorangefl.gov/register-to-vote/,false,"found via ""Register to Vote"" score=31",ok,200,https://voteorangefl.gov/register-to-vote/,,,
Osceola,1,voter_registration,https://www.voteosceola.gov/en-us/voter-information/how-to-register-to-vote/,false,"found via ""How to Register to Vote"" score=44",ok,200,https://www.voteosceola.gov/en-us/voter-information/how-to-register-to-vote/,,,
Palm Beach,1,voter_registration,https://www.votepalmbeach.gov/161/Voter-Registration,false,"found via ""Voter Registration"" score=32",ok,200,https://www.votepalmbeach.gov/161/Voter-Registration,,,
Pasco,1,voter_registration,https://www.pascovotes.gov/newslist.php,false,"found via ""Notice of Invalid Voter Registration and"" score=20",ok,200,https://www.pascovotes.gov/newslist.php,,,
Pinellas,1,voter_registration,https://www.votepinellas.gov/196/Voter-Registration,false,"found via ""Voter Registration"" score=32",ok,200,https://www.votepinellas.gov/196/Voter-Registration,,,
